VMHost,NICType,Name,PciID,MACAddress,Driver,LinkSpeedMB,DVSwitch,DVSMTU,VSSSwitch,VSSMTU,VMKMTU,DHCPEnabled,IPAddress,SubnetMask,DVSPortGroup,DVSPortGroupVLAN,VSSPortGroup,VSSPortGroupVLAN
vlabesx001.vlab.local,Physical,vmnic0,01:00.0,e0:db:55:4e:2e:c9,bnx2x,10000,vds-mgmt,1600,,,,,,,,,,
vlabesx001.vlab.local,Physical,vmnic1,01:00.1,e0:db:55:4e:2e:cc,bnx2x,10000,vds-compute,1600,,,,,,,,,,
vlabesx001.vlab.local,Physical,vmnic2,04:00.0,e0:db:55:4e:2e:d1,ixgbe,10000,,,,,,,,,,,,
vlabesx001.vlab.local,Physical,vmnic3,04:00.1,e0:db:55:4e:2e:d3,ixgbe,10000,,,,,,,,,,,,
vlabesx001.vlab.local,Physical,vmnic4,03:00.0,e0:db:55:4e:2e:cd,ixgbe,10000,,,,,,,,,,,,
vlabesx001.vlab.local,Physical,vmnic5,03:00.1,e0:db:55:4e:2e:cf,ixgbe,10000,,,,,,,,,,,,
vlabesx001.vlab.local,Virtual,vmk0,,e0:db:55:4e:2e:c9,,,,,,,1500,FALSE,192.168.1.31,255.255.255.0,10-cmi-mgmt,0,,
vlabesx001.vlab.local,Virtual,vmk2,,00:50:56:6f:23:d6,,,,,,,1500,FALSE,192.168.20.5,255.255.255.0,20-vmotion,20,,
vlabesx001.vlab.local,Virtual,vmk1,,00:50:56:6d:27:57,,,,,,,1600,FALSE,192.168.40.2,255.255.255.0,vxw-vmknicPg-dvs-42-0-f57571f7-10a3-43a0-8b65-b4009974e353,0,,
vesx-photon-01.vlab.local,Physical,vmnic0,03:00.0,00:50:56:9c:ed:2a,vmxnet3,10000,,,vSwitch0,1500,,,,,,,,
vesx-photon-01.vlab.local,Physical,vmnic1,0000:0b:00.0,00:50:56:9c:03:a9,vmxnet3,10000,,,vSwitch1,1500,,,,,,,,
vesx-photon-01.vlab.local,Virtual,vmk0,,00:50:56:9c:ed:2a,,,,,,,1500,FALSE,192.168.1.54,255.255.255.0,,,Management Network,0
vesx-photon-02.vlab.local,Physical,vmnic0,03:00.0,00:50:56:9c:fa:11,vmxnet3,10000,,,vSwitch0,1500,,,,,,,,
vesx-photon-02.vlab.local,Physical,vmnic1,0000:0b:00.0,00:50:56:9c:d4:44,vmxnet3,10000,,,vSwitch1,1500,,,,,,,,
vesx-photon-02.vlab.local,Virtual,vmk0,,00:50:56:9c:fa:11,,,,,,,1500,FALSE,192.168.1.55,255.255.255.0,,,Management Network,0
vesx-photon-03.vlab.local,Physical,vmnic0,03:00.0,00:50:56:9c:a8:73,vmxnet3,10000,,,vSwitch0,1500,,,,,,,,
vesx-photon-03.vlab.local,Physical,vmnic1,0000:0b:00.0,00:50:56:9c:38:8e,vmxnet3,10000,,,vSwitch1,1500,,,,,,,,
vesx-photon-03.vlab.local,Virtual,vmk0,,00:50:56:9c:a8:73,,,,,,,1500,FALSE,192.168.1.56,255.255.255.0,,,Management Network,0
vesx-photon-04.vlab.local,Physical,vmnic0,03:00.0,00:50:56:9c:84:b0,vmxnet3,10000,,,vSwitch0,1500,,,,,,,,
