Name,AdapterType,Label,MacAddress,MacAddressType,PortGroupName,PortGroupType,DVSwitchName,IPAddress,PrefixLength,DHCP,Connected,StartConnected,AllowGuestControl,Shares,ShareLevel,Status
NSX_Controller_7e932a8f-4379-4350-b28f-8051bb80ee87,vmxnet3,Network adapter 1,00:50:56:9c:9f:81,assigned,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.112,24,"""""",TRUE,TRUE,TRUE,50,normal,ok
vlabnsx001,vmxnet3,Network adapter 1,00:50:56:9c:7c:a4,assigned,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.6|fe80::250:56ff:fe9c:7ca4,24|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
vlabvcenter,vmxnet3,Network adapter 1,00:0c:29:f4:62:25,generated,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.15,24,"""""",TRUE,TRUE,TRUE,50,normal,ok
NSX_Controller_d5adda0a-2d6f-43ca-8405-8d818afd23c2,vmxnet3,Network adapter 1,00:50:56:9c:3b:74,assigned,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.111,24,"""""",TRUE,TRUE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 10,00:50:56:9c:36:55,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 9,00:50:56:9c:40:65,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 8,00:50:56:9c:f9:1f,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 7,00:50:56:9c:13:e0,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 6,00:50:56:9c:9a:b0,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 4,00:50:56:9c:ce:f5,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 3,00:50:56:9c:1e:32,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 1,00:50:56:9c:31:58,assigned,vxw-dvs-42-virtualwire-31-sid-5012-srs-uno-transit-left,Distributed,vds-mgmt,192.168.1.3|fe80::250:56ff:fe9c:3158,29|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 2,00:50:56:9c:60:a5,assigned,vxw-dvs-42-virtualwire-32-sid-5013-srs-uno-transit-right,Distributed,vds-mgmt,192.168.1.11|fe80::250:56ff:fe9c:60a5,29|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
srs-uno-middle-esg-0,vmxnet3,Network adapter 5,00:50:56:9c:34:aa,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 10,00:50:56:9c:19:e4,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 9,00:50:56:9c:43:ed,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 8,00:50:56:9c:f0:e6,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 7,00:50:56:9c:a9:53,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 6,00:50:56:9c:1d:4b,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 4,00:50:56:9c:f4:a9,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 1,00:50:56:9c:1c:2b,assigned,10-cmi-mgmt,Distributed,vds-mgmt,fe80::250:56ff:fe9c:1c2b,64,"""""",TRUE,TRUE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 2,00:50:56:9c:23:d9,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 5,00:50:56:9c:cc:5b,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-right-dlr-0,vmxnet3,Network adapter 3,00:50:56:9c:3b:79,assigned,vxw-dvs-42-virtualwire-32-sid-5013-srs-uno-transit-right,Distributed,vds-mgmt,192.168.1.9|fe80::250:56ff:fe9c:3b79,29|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 10,00:50:56:9c:37:f7,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 9,00:50:56:9c:75:7e,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 8,00:50:56:9c:53:de,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 7,00:50:56:9c:d4:e7,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 6,00:50:56:9c:1a:46,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 3,00:50:56:9c:ea:7c,assigned,vxw-dvs-42-virtualwire-25-sid-5006-srs-uno-app-left,Distributed,vds-mgmt,192.168.20.254|fe80::250:56ff:fe9c:ea7c,24|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 1,00:50:56:9c:2d:1e,assigned,10-cmi-mgmt,Distributed,vds-mgmt,fe80::250:56ff:fe9c:2d1e,64,"""""",TRUE,TRUE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 2,00:50:56:9c:be:90,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 5,00:50:56:9c:ff:44,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
srs-uno-left-dlr-0,vmxnet3,Network adapter 4,00:50:56:9c:0e:ef,assigned,vxw-dvs-42-virtualwire-31-sid-5012-srs-uno-transit-left,Distributed,vds-mgmt,192.168.1.1|fe80::250:56ff:fe9c:eef,29|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
skywalk,e1000,Network adapter 1,00:50:56:9c:5c:f7,assigned,10-cmi-mgmt,Distributed,vds-mgmt,192.168.1.58|fe80::adde:3441:9b3d:90d,24|64,"""""",TRUE,TRUE,TRUE,50,normal,ok
Edge Gateway-0,vmxnet3,Network adapter 10,00:50:56:9c:19:0c,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
Edge Gateway-0,vmxnet3,Network adapter 9,00:50:56:9c:0b:dc,assigned,none,NotAssigned,vds-mgmt,"""""","""""","""""",FALSE,FALSE,TRUE,50,normal,ok
